,logFC,AveExpr,t,P.Value,adj.P.Val,B
GCNT2,1.645308187,5.464952888,8.016196673,1.43E-13,1.28E-11,20.35043955
DSCC1,0.652918069,4.378492615,8.005853431,1.52E-13,1.35E-11,20.29015981
CDK12,-1.415250631,6.273597222,-8.005437914,1.52E-13,1.35E-11,20.28773894
FAF1,0.680829974,5.792627715,8.003454545,1.54E-13,1.36E-11,20.27618437
PSMD3,-1.654764362,8.497048088,-8.002681528,1.55E-13,1.36E-11,20.27168134
USP3,-0.598882674,7.768313502,-8.000958272,1.56E-13,1.37E-11,20.26164363
SFRP1,2.258004443,5.707669337,7.997503327,1.60E-13,1.39E-11,20.24152209
ADCY3,0.834322119,6.766775094,7.979945265,1.77E-13,1.54E-11,20.13932632
MCM7,0.929401678,8.217944566,7.977962841,1.79E-13,1.55E-11,20.12779426
TRAF4,-1.250592678,6.175246793,-7.97429412,1.83E-13,1.58E-11,20.10645625
TSPAN31,-0.981315874,7.544942951,-7.954842917,2.06E-13,1.76E-11,19.99340035
RAB3D,-1.000872359,6.353640449,-7.950856456,2.11E-13,1.80E-11,19.97024577
FEM1C,-0.877188471,6.838449917,-7.949500463,2.13E-13,1.80E-11,19.96237099
FBL,0.811960618,10.08483696,7.949163883,2.13E-13,1.80E-11,19.96041643
TPCN1,-0.599946901,5.879128729,-7.938443666,2.27E-13,1.91E-11,19.89818318
CCDC125,-1.208038494,5.303157236,-7.935721648,2.31E-13,1.94E-11,19.88238751
CORO1B,-0.843675049,7.172553519,-7.934125956,2.33E-13,1.94E-11,19.873129
MRPL9,0.900980268,8.719397104,7.934056582,2.33E-13,1.94E-11,19.8727265
FOXM1,1.584238916,6.719387824,7.924289541,2.47E-13,2.05E-11,19.81607549
ABCA12,-2.560083733,4.671547991,-7.905646457,2.76E-13,2.28E-11,19.70803237
ST8SIA1,1.597955797,4.278174161,7.902756201,2.81E-13,2.31E-11,19.69129304
COMMD2,0.739508891,7.384200846,7.901915381,2.82E-13,2.31E-11,19.68642386
MICALL1,1.036991009,6.737209426,7.899821734,2.85E-13,2.33E-11,19.67430061
MAGED2,-0.995628705,8.711197749,-7.898310273,2.88E-13,2.34E-11,19.66554946
AVIL,-0.854432621,5.218478987,-7.893248579,2.97E-13,2.40E-11,19.63624867
MSH6,0.63792722,6.249987759,7.892234462,2.99E-13,2.41E-11,19.63037928
MUC6,-1.712602826,3.408612173,-7.888399659,3.05E-13,2.45E-11,19.60818788
GPM6B,1.35494343,6.200569147,7.887189566,3.08E-13,2.46E-11,19.60118632
CCDC77,1.07728242,5.457905315,7.87481031,3.31E-13,2.64E-11,19.52958951
FANCA,0.754568807,5.111561871,7.861567506,3.58E-13,2.84E-11,19.45305726
ENPP3,-1.161344016,4.212438669,-7.853502379,3.76E-13,2.96E-11,19.40647759
NOSTRIN,-1.43127068,5.750751694,-7.853437236,3.76E-13,2.96E-11,19.40610146
CPD,-1.12187298,6.410751303,-7.85176665,3.79E-13,2.98E-11,19.39645597
TTC6,-1.379693556,4.019364742,-7.848579834,3.87E-13,3.03E-11,19.3780589
GGCT,-0.938292028,10.42581451,-7.846531701,3.91E-13,3.05E-11,19.36623718
NFIX,0.834987349,4.925171256,7.845532694,3.94E-13,3.06E-11,19.3604715
C2CD4B,-0.940405414,2.938084228,-7.844889402,3.95E-13,3.06E-11,19.35675898
GPC1-AS1,-2.02138737,4.686503148,-7.840286825,4.06E-13,3.13E-11,19.33020115
CRAT,-1.71200626,6.467404496,-7.838375048,4.11E-13,3.15E-11,19.31917198
FDCSP,4.207692001,5.341796113,7.831390414,4.28E-13,3.28E-11,19.27888809
THNSL1,1.280365554,4.912976575,7.822066719,4.52E-13,3.45E-11,19.22514042
