"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"SOX8",2.97984609393527,3.34730082592809,5.92452529372829,1.59807467396368e-08,1.97529241915404e-07,8.82100904984981,"Upregulated"
"CDH5",2.97582130691218,6.00798339306596,12.3228427796968,1.36990256040764e-25,2.74178094181588e-23,47.511626863048,"Upregulated"
"NID2",2.96780211098475,7.48865370880458,10.0386678322736,4.72076345527098e-19,4.30976716322217e-17,32.6377360369803,"Upregulated"
"RHOH",2.94054195785629,5.9736011702419,9.05076915619326,2.53808111305905e-16,1.57232614191441e-14,26.4355775476462,"Upregulated"
"EPB41L3",2.93752183712217,5.73179237010537,10.6454568477872,9.12789111579002e-21,1.00527541574164e-18,36.5342359566641,"Upregulated"
"HBA2",2.93409972326546,5.75503517730869,5.8563258639624,2.25634688266603e-08,2.70073952631934e-07,8.48556156280187,"Upregulated"
"TRAC",2.9099331481662,6.45337224954252,9.37971729765472,3.19832324194454e-17,2.23399658661327e-15,28.4778493356697,"Upregulated"
"MZB1",2.9087023804289,5.27057346165,6.43643259308117,1.11144443350802e-09,1.82450440721369e-08,11.4189827060798,"Upregulated"
"C1S",2.90072763877903,8.49677856571734,7.040120400383,4.08361022078602e-11,9.55060075793943e-10,14.6500226702302,"Upregulated"
"POU2AF1",2.89679489746963,6.05278867028769,5.74098756917911,4.02053581161898e-08,4.53696160821786e-07,7.92423356978286,"Upregulated"
"XIST",2.89547207266948,8.71949985322091,8.54656400395627,5.77049565801278e-15,2.90830186734954e-13,23.3580776914022,"Upregulated"
"PDGFRB",2.88547148464161,7.42246619799593,10.450652516858,3.25826929804164e-20,3.34092982456832e-18,35.2774242269668,"Upregulated"
"PIK3AP1",2.8768570543885,5.73632368967097,12.8560807285354,3.88652612835176e-27,8.88989465512549e-25,51.0338967179454,"Upregulated"
"ISLR",2.87338550705155,7.3592732288753,10.0242885733493,5.1799801254805e-19,4.70835311405575e-17,32.5460969485601,"Upregulated"
"LILRB1",2.84446831936381,5.4448502394065,11.8131445878277,4.08847722860173e-24,6.64856668073007e-22,44.1542671753929,"Upregulated"
"MMP3",2.84191636678455,6.13124793888801,6.70286562920264,2.63878926032472e-10,5.01153270562582e-09,12.8239083167625,"Upregulated"
"KANK4",2.83293908029369,5.76398982620973,5.87510601902343,2.05239310425395e-08,2.47799086224164e-07,8.57767431073407,"Upregulated"
